country,carrier,2030,2040,2050
AT,gas,3129.0019999799997,1176.0,1176.0
AT,hydro,14678.90410156,16712.10410156,16712.10410156
AT,oil,163.606,,
AT,onwind,11096.07,21589.52,25306.9
AT,solar,18575.62,46451.130000000005,56747.369999999995
BE,gas,8730.599999940001,15017.600000299999,22679.564459999998
BE,hydro,1372.20199585,1375.0019989,1375.0019989
BE,offwind,4243.36,5987.0,6862.67
BE,oil,158.0,158.0,140.0
BE,onwind,5247.92,8859.01,10440.0
BE,solar,17063.0,33791.91,46861.43
BG,coal & lignite,2519.0,,
BG,gas,2004.99999991,4188.99999999,3967.0
BG,hydro,3215.8100586,3215.8100586,3215.8100586
BG,nuclear,1960.0,,
BG,offwind,,,134.8420938
BG,onwind,2504.93,8076.99,12643.65
BG,solar,9628.93,17883.35,27453.07
CZ,coal & lignite,2906.5,,
CZ,gas,2214.4,8168.4,8360.089606
CZ,hydro,1629.6799850400002,1629.6799850399998,1629.6799850400002
CZ,nuclear,4055.2000002,2137.6,
CZ,onwind,5388.59,11587.36,15149.95
CZ,solar,9862.83,22631.33,36060.13
DE,coal & lignite,9030.9,,
DE,gas,35057.227000240004,65218.40699808,69289.10699779
DE,hydro,15054.539916999998,15324.539916999998,15324.539916999998
DE,offwind,30391.62,51000.29,63233.99201
DE,oil,850.93,637.21,143.81
DE,onwind,84671.72,127157.64,151574.66
DE,solar,123439.81999999999,261989.54,329415.99
DK,gas,1324.1100000299998,5408.080000020001,6181.42166202
DK,offwind,13143.56,27629.510000000002,34356.602868
DK,oil,811.39,797.39,271.42
DK,onwind,6057.92,8037.879999999999,10817.22
DK,solar,17187.89,32791.84,46600.63
EE,gas,,,419.3234746
EE,offwind,140.0,700.0,967.1908895
EE,oil,426.8,137.0,137.0
EE,onwind,1866.9699999999998,2501.25,4740.99
EE,solar,632.4,1409.33,2514.0
ES,gas,24498.56,24875.56,24875.56
ES,hydro,24161.91918945,24161.91918945,24161.91918945
ES,offwind,1475.3,2105.3,3552.115579
ES,onwind,60403.0,87276.63,115948.07
ES,solar,78664.06,161262.69999999998,212040.59999999998
FI,gas,855.00000001,605.0,131.61183229
FI,hydro,3236.60791016,3236.60791016,3236.60791016
FI,nuclear,3887.0,2491.0,1600.0
FI,offwind,1058.4,3827.9,7896.404098
FI,onwind,25920.91,56847.92,69163.0
FI,solar,4667.34,11680.67,20980.77
FR,gas,7434.9999996999995,23667.9999997,43857.8943701
FR,hydro,27443.0,28486.13720703,28486.13720703
FR,nuclear,57350.999992,36073.000008,15209.000004
FR,offwind,8980.39,35160.013635999996,52369.35270330001
FR,oil,1255.0,284.0,
FR,onwind,44581.240000000005,88810.5045452,119440.0166663
FR,solar,85036.79,164289.445454,224574.03999969998
GR,gas,7521.3620002,6971.1620002,8388.4926442
GR,hydro,4505.677917479999,4592.677917479999,4592.677917479999
GR,offwind,461.63,1199.88,2083.724659
GR,oil,408.0,98.0,98.0
GR,onwind,16343.87,22772.6,27992.2
GR,solar,18395.829999999998,34368.16,48639.229999999996
HR,gas,696.99999999,380.0,1496.737633
HR,hydro,2647.57003784,2647.57003784,2647.57003784
HR,onwind,4436.650000000001,8123.05,10308.1
HR,solar,1691.1,3949.7200000000003,7796.93
HU,gas,2399.0,2998.0,4535.272597
