,Distributed Energy,Global Ambition," # data from Updated-TYNDP-2022-Scenario-Report-Data_Figures.xlsx, sheet 6"
2030,0.15671548820891,0.13,
2040,0.195371016857611,0.17, # interpolated data point
2050,0.234026545506313,0.21,
