Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Fossil oil,5341.911,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,5353.411,11.5000000000007,11.5000000000007,,
Fossil gas,5329.67,5804.97,9245.395,14186.58,14209.17,19737.27,22718.47,27005,28631,28631,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,31509.2,26179.53,26179.53,26179.53,26179.53,17300.03,2878.2000000000003,,
Fossil coal,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,12542.199999999999,,,,
Total,23213.781,23700.581,27141.006,32082.191,32104.781,37632.881,40614.081,44900.611,46526.611,46526.611,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,49404.811,44075.140999999996,44075.140999999996,44075.140999999996,44075.140999999996,17311.53,2889.700000000001,,
