Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES wind-onshore,0.3,0.3,1,3,7,31,31,50,77,104,108,180,266,266,275,300,300,300,300,300,315.9032258064516,363.68645161290317,411.46967741935487,554.8193548387097,793.7354838709679,1032.651612903226,1271.5677419354843,1510.4838709677422,1749.4000000000005
RES wind-offshore,,,,,,,,,,,,,,,,,,,,,19.967741935483797,278.45548387096784,536.9432258064519,1312.4064516129038,2604.845161290323,3897.283870967743,5189.722580645163,6482.161290322584,7774.600000000004
RES solar pv,,,,,,,,,,,,,,,,,,,,,0.03225806451612903,62.27118279569885,124.51010752688167,311.2268817204301,622.421505376344,933.616129032258,1244.810752688172,1556.005376344086,1867.2
RES other solar csp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES other marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES other hydroelectric,2,2.4,4.164000000000001,4.164000000000001,4.494,5,5.082,5.082,5.267,7,7,7,8,8,8,8,8,8,8,8,8.1290322580645,10.9247311827956,13.7204301075268,22.1075268817204,36.0860215053763,50.06451612903219,64.0430107526881,78.02150537634401,92
RES other geothermal,,,,,,,,,,,,,,,,,,,,,,2.9333333333333,5.8666666666666,14.6666666666666,29.3333333333333,44,58.6666666666666,73.3333333333333,88
Solid biomass and waste,,,,,,,2,2,2,2,27,27,29.2,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,30.237,28.236999999999902,4.876935483870899,4.876935483870899
Total,2.3,2.6999999999999997,5.164000000000001,7.164000000000001,11.494,36,38.082,57.082,84.267,113,142,214,303.2,304.23699999999997,313.23699999999997,338.23699999999997,338.23699999999997,338.23699999999997,338.23699999999997,338.23699999999997,374.269258064516,748.5081827956988,1122.7471075268818,2245.4638817204304,4116.658505376345,5987.853129032259,7857.047752688174,9704.882311827962,11576.076935483874
