Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Fossil oil,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,192.14999999999998,,,,
Fossil gas,1863.225,2119.325,2119.325,2119.325,2137.685,2138.495,2138.495,2138.495,2148.9950000000003,2148.9950000000003,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,2185.2149999999997,1730.585,1730.585,1730.585,1730.585,1456.125,1444.8149999999998,1408.595,1408.595
Fossil coal,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,1851.6,,,,
Total,3906.975,4163.075,4163.075,4163.075,4181.4349999999995,4182.245,4182.245,4182.245,4192.745,4192.745,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,4228.964999999999,3774.335,3774.335,3774.335,3774.335,1456.125,1444.8149999999998,1408.595,1408.595
