Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Fossil oil,600,600,600,600,600,600,600,600,600,610,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,20,20,20,20
Fossil gas,900,925.6,925.6,925.6,925.6,925.6,925.6,935.6,945.6,948.6,948.6,954.0999999999999,963.5,963.5,963.5,963.5,963.5,963.5,963.5,963.5,963.5,63.5,63.5,63.5,63.5,37.900000000000006,14.9,,
Fossil coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1500,1525.6,1525.6,1525.6,1525.6,1525.6,1525.6,1535.6,1545.6,1558.6,1568.6,1574.1,1583.5,1583.5,1583.5,1583.5,1583.5,1583.5,1583.5,1583.5,1583.5,683.5,683.5,683.5,683.5,57.900000000000006,34.9,20,20
