Categories,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025,2030,2035,2040,2045,2050
Fossil oil,2295,2295,2295,2401,2401,2401,2401,2415.0000000000005,2455,2475.0000000000005,2475.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,2521.0000000000005,225.99999999999991,225.99999999999991,225.99999999999991,105.9999999999998
Fossil gas,945.2,994.1999999999999,1093.6999999999998,1578.3,1754.3,2114.3,2522.7,2522.7,2522.7,2522.7,3376.3,3376.3,4257.4,4257.4,4257.4,5153.3,5153.3,5153.3,5153.3,5153.3,5153.3,4833.3,5666.299999999999,6499.3,6499.3,5690.2,4921.799999999999,3187.1,2291.2
Fossil coal,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,4761,,,,
Total,8001.2,8050.2,8149.7,8740.3,8916.3,9276.3,9684.7,9698.7,9738.7,9758.7,10612.300000000001,10658.300000000001,11539.4,11539.4,11539.4,12435.3,12435.3,12435.3,12435.3,12435.3,12435.3,12115.3,12948.3,13781.3,13781.3,5916.2,5147.799999999999,3413.1,2397.2
