caihdr;2015;2020;2025;2030;2035;2040;2045;2050
AT;13,6;14,5;14,5;14,5;14,5;14,5;14,5;14,5
BE;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
BG;2,4;2,5;2,5;2,5;2,5;2,5;2,5;2,5
CH;0,0;16,9;16,9;16,9;16,9;16,9;16,9;16,9
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1
DE;3,9;3,9;3,9;5,6;5,6;5,6;5,6;5,6
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;3,4;3,4;3,5;4,0;4,0;4,7;4,7;4,7
ES;19,5;20,4;20,4;20,4;20,4;20,4;20,4;20,4
FI;3,2;3,3;3,3;3,3;3,3;3,3;3,3;3,3
FR;21,2;21,2;21,1;21,1;21,0;21,0;20,9;20,8
HR;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2
HU;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
IE;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
IT;18,5;18,8;18,8;18,9;19,2;19,4;19,5;19,6
LT;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NO;31,4;32,5;32,5;32,5;32,5;32,5;32,5;32,5
PL;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
PT;6,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2
RO;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6
SE;16,2;16,2;16,2;16,2;16,2;16,2;16,2;16,2
SI;1,1;1,2;1,2;1,2;1,2;1,2;1,2;1,2
SK;1,6;1,6;1,6;1,6;1,6;1,6;1,6;1,6
UK;2,1;2,2;2,2;2,2;2,2;2,2;2,2;2,2
;;;;;;;;
EU27;123,9;127,2;127,3;129,6;129,8;130,7;130,7;130,7
EU28;126,0;129,4;129,5;131,8;132,0;132,8;132,9;132,9
EU30;157,4;178,8;178,9;181,2;181,4;182,2;182,3;182,3
