vapcfter;2015;2020;2025;2030;2035;2040;2045;2050
AT;7,4;7,5;7,3;6,8;6,5;6,0;6,3;6,1
BE;0,6;0,6;1,4;2,0;2,2;2,1;2,8;2,7
BG;1,4;1,4;1,5;1,6;1,6;1,7;1,9;1,9
CH;1,2;1,2;1,7;2,1;2,4;2,7;3,2;3,0
CY;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1
CZ;5,8;5,9;6,1;5,9;5,5;4,8;5,2;5,0
DE;27,1;23,7;27,2;31,3;38,6;41,0;40,5;34,8
DK;8,8;9,0;9,3;9,9;10,3;10,4;10,3;9,8
EE;1,4;1,4;1,3;1,1;1,0;0,8;0,8;0,8
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;0,3;0,5;1,6;3,0;4,2;5,1;7,2;6,9
FI;11,6;12,2;11,1;9,6;8,4;7,1;6,9;6,3
FR;9,1;9,3;8,9;10,0;13,9;16,4;16,3;15,2
HR;0,6;0,6;0,7;0,7;0,7;0,7;0,8;0,8
HU;2,2;2,2;2,6;2,7;2,9;2,9;3,4;3,3
IE;0,0;0,0;0,3;0,5;0,7;0,8;1,2;1,1
IT;3,8;3,8;5,5;6,6;7,4;7,6;9,7;9,3
LT;2,2;2,3;2,1;1,8;1,6;1,5;1,4;1,3
LU;0,7;0,7;0,7;0,7;0,6;0,4;0,4;0,4
LV;1,6;1,7;1,6;1,4;1,2;0,9;1,0;0,9
MT;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1
NL;2,0;2,1;3,2;4,1;4,9;5,6;7,0;6,6
NO;3,3;3,4;3,7;3,7;3,6;3,4;3,8;3,6
PL;12,0;12,2;12,8;12,7;12,7;12,4;13,7;13,0
PT;0,2;0,2;0,5;0,8;1,0;1,1;1,5;1,4
RO;2,0;2,1;2,6;3,0;3,3;3,5;4,2;4,1
SE;15,5;13,9;12,5;10,8;8,9;7,4;6,3;5,6
SI;0,7;0,7;0,7;0,7;0,8;0,8;0,8;0,8
SK;1,0;1,0;1,2;1,4;1,4;1,3;1,7;1,7
UK;3,9;3,9;7,5;10,1;12,2;13,5;17,8;17,5
;;;;;;;;
EU27;117,9;114,9;122,9;129,2;140,3;142,5;151,3;140,0
EU28;121,8;118,8;130,4;139,3;152,5;156,0;169,2;157,4
EU30;126,3;123,4;135,8;145,1;158,5;162,0;176,2;164,1
