proelcnuc;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BE;26,1;43,5;16,8;16,8;0,0;0,0;0,0;0,0
BG;14,5;15,4;15,0;14,6;14,1;6,8;0,0;0,0
CH;22,2;21,3;15,6;8,3;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;25,3;27,9;27,0;26,2;22,3;12,8;12,3;0,0
DE;86,8;60,9;0,0;0,0;0,0;0,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;54,8;55,8;55,8;31,8;0,0;0,0;0,0;0,0
FI;22,3;22,2;34,0;12,0;11,7;11,3;11,0;0,0
FR;411,0;331,2;326,9;260,3;186,2;84,3;10,5;0,0
HR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
HU;15,0;15,2;14,8;14,4;6,9;0,0;0,0;0,0
IE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;3,9;3,4;0,0;0,0;0,0;0,0;0,0;0,0
NO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
RO;10,7;10,4;10,2;9,9;9,6;9,3;9,0;0,0
SE;66,0;47,3;47,3;40,0;30,0;0,0;0,0;0,0
SI;5,4;5,7;5,5;5,4;0,0;0,0;0,0;0,0
SK;14,1;14,0;20,2;19,6;12,4;12,0;11,6;0,0
UK;63,9;58,0;56,1;62,0;40,3;25,1;17,6;0,0
;;;;;;;;
EU27;755,8;653,0;573,4;450,9;293,1;136,5;54,4;0,0
EU28;819,7;711,0;629,5;512,9;333,5;161,5;72,0;0,0
EU30;841,8;732,3;645,0;521,2;333,5;161,5;72,0;0,0
