enccfind;2015;2020;2025;2030;2035;2040;2045;2050
AT;17,1;16,9;17,4;19,0;20,1;21,0;21,7;21,9
BE;9,8;9,5;9,0;7,9;7,0;6,3;5,9;5,8
BG;3,3;3,6;3,6;3,9;4,1;4,3;4,4;4,5
CH;4,2;4,6;4,7;5,0;5,2;5,4;5,5;5,5
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;5,6;5,6;5,8;6,4;6,8;7,1;7,4;7,4
DE;25,0;31,0;28,4;43,8;46,1;45,9;48,2;47,2
DK;2,2;2,9;3,0;3,1;3,2;2,6;2,6;2,6
EE;1,4;0,3;0,4;0,9;1,2;1,5;1,7;1,8
EL;2,8;1,6;2,4;3,0;4,0;4,6;4,8;4,8
ES;15,6;18,4;20,3;19,2;18,9;19,0;18,5;18,3
FI;40,7;49,9;50,1;50,8;51,2;51,6;51,9;52,0
FR;22,7;20,9;31,7;37,5;42,3;44,7;44,2;44,2
HR;0,5;0,7;0,7;0,6;0,6;0,6;0,6;0,6
HU;1,5;2,9;2,8;2,5;2,4;2,2;2,1;2,1
IE;2,1;2,3;2,3;2,5;2,6;2,7;2,8;2,9
IT;7,8;8,2;9,9;10,7;11,6;12,1;12,5;12,5
LT;1,0;1,3;1,3;1,3;1,4;1,4;1,4;1,4
LU;0,5;0,3;0,3;0,4;0,5;0,5;0,6;0,6
LV;4,2;4,6;4,7;5,0;5,2;5,4;5,5;5,6
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;1,7;2,1;2,1;2,2;2,3;2,3;2,4;2,4
NO;4,0;5,0;5,0;5,1;5,2;5,2;5,3;5,3
PL;22,0;31,2;30,0;25,9;23,1;20,9;19,0;18,6
PT;2,4;2,6;2,7;2,8;2,9;3,0;3,1;3,1
RO;2,8;7,4;7,0;5,6;4,7;3,9;3,2;3,1
SE;57,3;58,7;59,9;57,9;55,5;47,2;44,3;43,8
SI;1,3;1,5;1,5;1,6;1,6;1,7;1,7;1,7
SK;6,6;6,7;6,8;7,3;7,6;7,8;8,0;8,1
UK;11,3;14,8;14,8;14,7;14,7;14,6;14,6;14,6
;;;;;;;;
EU27;257,8;290,9;304,0;322,0;326,9;320,3;318,5;316,6
EU28;269,1;305,7;318,8;336,7;341,6;334,9;333,1;331,2
EU30;277,3;315,2;328,4;346,8;352,0;345,5;343,9;342,0
