;2015;2020;2025;2030;2035;2040;2045;2050
AT;6,211;6,062;5,524;4,986;4,447;3,909;3,37;2,832
BE;8,308;8,113;7,441;6,769;6,097;5,425;4,752;4,08
BG;2,16;2,189;1,974;1,758;1,542;1,326;1,11;0,894
CH;2,173;2,131;1,997;1,863;1,73;1,596;1,462;1,328
CY;0,48;0,527;0,527;0,527;0,527;0,527;0,527;0,527
CZ;7,067;7,399;6,83;6,262;5,693;5,125;4,556;3,988
DE;41,82;41,82;37,895;33,97;30,046;26,121;22,197;22,197
DK;7,505;6,864;6,092;4,731;4,1;4,1;4,1;4,1
EE;1,541;1,319;1,196;1,073;0,95;0,827;0,705;0,582
EL;3,166;3,106;2,895;2,684;2,473;2,263;2,052;1,841
ES;29,216;28,665;26,538;24,41;22,283;20,155;18,028;15,901
FI;8,669;8,354;7,739;7,123;6,508;5,892;5,277;4,662
FR;52,329;51,372;47,347;43,321;39,296;35,271;31,246;27,221
HR;2,714;2,808;2,555;2,303;2,05;1,797;1,544;1,292
HU;6,35;7,375;6,855;6,335;5,815;5,296;4,776;4,256
IE;2,566;2,858;2,715;2,572;2,429;2,285;2,142;1,999
IT;33,166;32,451;29,942;27,433;24,924;22,415;19,907;17,398
LT;1,164;1,302;1,224;1,147;1,07;0,992;0,915;0,838
LU;0,291;0,283;0,283;0,283;0,283;0,283;0,283;0,283
LV;1,879;2,424;2,227;2,03;1,833;1,637;1,44;1,243
MT;0,048;0,102;0,102;0,102;0,102;0,102;0,102;0,102
NL;43,497;45,909;41,546;37,183;32,82;28,457;24,094;19,731
NO;5,932;6,786;6,146;5,505;4,864;4,223;3,583;2,942
PL;38,73;44,359;41,474;38,59;35,705;32,821;29,936;27,052
PT;5,132;5,552;5,326;5,101;4,875;4,649;4,423;4,197
RO;5,333;6,479;6,082;5,685;5,288;4,892;4,495;4,098
SE;6,608;6,479;6,004;5,529;5,053;4,578;4,102;3,627
SI;0,83;0,827;0,798;0,768;0,739;0,71;0,68;0,651
SK;1,741;1,496;1,394;1,291;1,189;1,086;0,984;0,882
UK;11,355;16,671;15,616;14,56;13,505;12,45;11,395;10,34
;;;;;;;;
EU27;318,521;326,494;300,525;273,966;248,137;222,941;197,743;176,474
EU28;329,876;343,165;316,141;288,526;261,642;235,391;209,138;186,814
EU30;337,981;352,082;324,284;295,894;268,236;241,21;214,183;191,084
