;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,172;0,304;0,402;0,5;0,598;0,696;0,793;0,891
BE;2,521;2,46;2,494;2,529;2,563;2,597;2,632;2,666
BG;0,18;0,129;0,176;0,222;0,269;0,315;0,362;0,408
CH;0,106;0,103;0,147;0,19;0,233;0,277;0,32;0,364
CY;0,023;0,033;0,065;0,097;0,13;0,162;0,194;0,226
CZ;1,911;2,195;2,239;2,283;2,326;2,37;2,413;2,457
DE;9,517;9,517;9,744;9,971;10,198;10,425;10,652;10,652
DK;0,414;0,383;0,266;0,577;0,863;0,863;0,863;0,863
EE;0,07;0,051;0,093;0,135;0,177;0,219;0,262;0,304
EL;0,002;0,002;0,204;0,406;0,608;0,81;1,012;1,213
ES;0,885;0,869;2,548;4,226;5,905;7,583;9,262;10,941
FI;0,016;0,023;0,254;0,485;0,716;0,947;1,178;1,409
FR;2,319;2,252;4,941;7,63;10,319;13,008;15,697;18,385
HR;0,206;0,257;0,341;0,425;0,509;0,593;0,677;0,761
HU;1,292;1,514;1,677;1,84;2,002;2,165;2,327;2,49
IE;0;0;0,162;0,324;0,486;0,647;0,809;0,971
IT;1,615;1,592;3,329;5,066;6,803;8,54;10,277;12,014
LT;0,242;0,241;0,265;0,29;0,314;0,339;0,364;0,388
LU;0,029;0,027;0,05;0,072;0,094;0,117;0,139;0,162
LV;0,198;0,118;0,194;0,269;0,345;0,421;0,497;0,572
MT;0;0;0,009;0,017;0,026;0,034;0,043;0,051
NL;25,582;25,298;23,185;21,072;18,959;16,846;14,733;12,62
NO;0,154;0,157;0,338;0,519;0,701;0,882;1,063;1,245
PL;0,425;0,533;2,192;3,851;5,51;7,169;8,828;10,487
PT;0,07;0,075;0,404;0,734;1,063;1,392;1,721;2,05
RO;0,784;1,22;1,407;1,594;1,781;1,968;2,155;2,342
SE;0,096;0,093;0,431;0,768;1,105;1,443;1,78;2,118
SI;0;0;0,064;0,127;0,191;0,255;0,319;0,382
SK;0,552;0,413;0,424;0,435;0,446;0,457;0,468;0,479
UK;0,917;1,049;1,612;2,175;2,737;3,3;3,863;4,426
;;;;;;;;
EU27;49,121;49,599;57,56;65,945;74,306;82,381;90,457;98,302
EU28;50,038;50,648;59,172;68,12;77,043;85,681;94,32;102,728
EU30;50,298;50,908;59,657;68,829;77,977;86,84;95,703;104,337
