elccfreschf;2015;2020;2025;2030;2035;2040;2045;2050
AT;2,9;2,7;3,0;3,0;3,1;3,2;3,2;2,8
BE;2,1;4,3;6,8;8,7;9,1;8,0;7,6;7,1
BG;1,6;1,5;1,5;1,3;1,2;1,1;1,0;1,0
CH;4,3;4,1;5,2;5,9;6,8;7,6;8,1;7,5
CY;0,2;0,2;0,3;0,4;0,4;0,5;0,6;0,5
CZ;2,8;2,6;3,2;3,4;3,6;3,8;3,8;3,4
DE;9,0;7,5;12,6;27,2;36,6;35,4;31,5;24,4
DK;1,2;1,3;1,3;1,6;1,5;1,4;1,3;1,2
EE;0,3;0,3;0,2;0,2;0,1;0,0;0,0;0,0
EL;3,7;4,8;5,4;5,4;5,3;4,5;3,7;2,8
ES;5,2;5,5;5,2;6,2;7,5;9,0;9,3;9,2
FI;10,9;10,1;7,8;5,5;3,9;2,5;1,3;1,1
FR;41,7;40,9;38,5;35,0;33,9;31,4;29,2;30,5
HR;0,4;0,3;0,5;0,6;0,7;0,7;0,7;0,5
HU;0,5;0,4;1,6;2,2;2,7;2,9;3,1;2,5
IE;0,7;0,7;2,5;3,9;5,4;6,7;7,9;7,5
IT;1,1;1,1;12,7;22,4;28,7;30,6;24,2;20,6
LT;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1
LU;0,5;0,5;0,8;1,0;1,2;1,2;1,2;0,9
LV;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
NL;1,7;1,6;6,9;10,9;15,0;18,6;21,1;19,3
NO;21,5;21,4;18,9;15,2;12,7;10,2;7,8;7,5
PL;1,4;1,3;4,2;6,2;8,3;10,0;11,3;10,3
PT;1,0;1,0;0,9;0,9;0,9;0,9;0,8;0,8
RO;0,1;0,1;1,2;2,0;2,9;3,6;4,3;4,1
SE;13,9;12,2;9,0;7,2;4,6;3,3;2,3;1,5
SI;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,4
SK;0,9;0,9;1,0;1,2;1,4;1,5;1,6;1,6
UK;18,4;18,1;36,7;49,7;63,5;75,3;85,2;79,4
;;;;;;;;
EU27;104,3;102,7;127,8;157,1;178,7;181,6;171,7;154,2
EU28;122,7;120,8;164,5;206,8;242,1;256,9;256,8;233,6
EU30;148,5;146,3;188,6;227,8;261,6;274,7;272,8;248,5
