elccftra;2015;2020;2025;2030;2035;2040;2045;2050
AT;1,7;1,9;4,8;7,8;10,1;11,5;11,6;11,8
BE;1,6;1,7;4,3;6,9;9,8;11,0;11,1;11,1
BG;0,2;0,3;1,2;2,9;4,2;5,1;5,6;5,4
CH;2,2;2,1;4,8;7,3;9,0;10,1;10,2;10,0
CY;0,0;0,0;0,2;0,6;0,9;1,1;1,0;1,1
CZ;1,1;1,2;4,3;7,5;9,8;11,4;11,6;12,0
DE;11,1;11,3;21,7;54,8;85,3;104,8;111,5;108,2
DK;0,4;0,4;1,8;4,6;7,6;8,0;7,7;7,3
EE;0,0;0,0;0,3;0,7;1,0;1,3;1,4;1,4
EL;0,4;0,2;0,8;1,8;2,8;4,1;5,0;8,0
ES;3,7;3,5;10,4;22,7;38,4;55,0;57,8;56,7
FI;0,5;0,7;2,3;4,3;6,0;7,2;7,6;7,5
FR;10,5;13,5;24,7;41,0;60,9;74,8;80,4;82,6
HR;0,2;0,2;0,8;1,9;2,8;3,4;3,4;3,4
HU;0,7;0,7;2,6;4,9;6,9;8,5;9,3;9,7
IE;0,0;0,1;1,1;2,9;4,5;5,7;6,3;6,5
IT;10,9;11,5;27,2;46,5;52,6;50,8;52,9;55,8
LT;0,0;0,0;0,7;1,8;2,5;2,9;2,9;2,9
LU;0,1;0,1;0,3;0,6;0,8;0,9;0,9;0,9
LV;0,0;0,0;0,4;1,0;1,5;1,9;2,0;2,0
MT;0,0;0,0;0,1;0,3;0,5;0,6;0,6;0,7
NL;1,1;1,3;4,8;10,5;15,2;18,4;19,1;20,3
NO;0,6;1,2;1,6;3,6;5,3;6,8;7,5;7,7
PL;1,8;2,3;10,4;22,4;32,1;38,6;38,9;40,8
PT;0,2;0,4;2,1;5,3;7,8;9,6;10,0;10,5
RO;0,8;0,9;2,7;5,0;7,4;10,0;12,5;13,1
SE;2,6;2,7;4,0;6,4;9,0;11,2;12,1;12,6
SI;0,1;0,2;0,8;1,7;2,3;2,6;2,6;2,5
SK;0,3;0,3;1,2;2,4;3,4;4,4;5,1;5,5
UK;3,9;4,4;20,1;42,2;60,2;74,3;81,0;83,0
;;;;;;;;
EU27;50,0;55,4;136,0;269,2;386,0;464,8;491,1;500,3
EU28;53,8;59,8;156,1;311,4;446,2;539,2;572,1;583,3
EU30;56,6;63,0;162,6;322,3;460,5;556,1;589,9;601,0
