toccfter;2015;2020;2025;2030;2035;2040;2045;2050
AT;28,8;29,2;26,8;23,7;21,3;18,8;18,1;17,4
BE;55,1;55,6;48,5;40,1;32,5;24,6;23,5;22,2
BG;12,1;12,2;11,5;10,9;10,2;9,5;9,3;9,2
CH;38,3;39,7;37,2;33,7;31,4;29,0;27,4;25,7
CY;2,3;2,3;2,3;2,2;2,1;1,9;2,0;2,0
CZ;36,5;36,9;33,8;29,0;24,4;19,4;18,5;17,5
DE;363,1;338,0;314,8;281,4;248,8;219,7;197,6;179,5
DK;22,1;22,7;24,7;26,3;27,1;28,1;27,8;27,2
EE;5,5;5,6;4,8;3,9;3,1;2,3;2,2;2,1
EL;20,3;20,1;19,1;19,3;18,2;17,7;17,1;17,1
ES;123,0;124,2;123,8;116,8;109,8;99,8;97,5;93,9
FI;33,0;34,6;30,4;25,5;21,5;17,6;16,2;14,8
FR;229,8;221,9;204,3;178,7;158,3;143,5;132,2;123,3
HR;8,8;8,9;8,3;7,5;6,8;6,1;5,8;5,5
HU;26,8;27,1;24,6;21,5;19,0;16,5;16,1;15,6
IE;14,5;14,7;14,3;13,2;12,4;11,4;11,3;11,1
IT;188,7;188,7;170,2;148,7;129,7;109,8;106,6;102,9
LT;7,1;7,2;6,4;5,5;4,8;4,2;3,9;3,5
LU;4,9;5,0;4,3;3,4;2,5;1,4;1,4;1,3
LV;7,2;8,0;6,6;5,1;4,0;2,9;2,7;2,4
MT;1,2;1,2;1,3;1,3;1,3;1,2;1,2;1,2
NL;74,1;76,5;72,3;65,7;61,6;57,2;54,5;51,8
NO;31,2;32,2;29,1;25,2;21,9;18,4;17,5;16,5
PL;95,3;96,5;88,9;78,7;70,8;62,7;59,9;57,1
PT;23,3;23,5;21,6;19,6;17,6;15,7;15,3;14,9
RO;23,6;23,8;24,5;23,9;23,2;22,0;21,7;21,4
SE;46,0;38,6;36,4;35,9;37,0;37,8;38,7;39,4
SI;5,7;5,8;5,5;5,0;4,6;4,3;4,1;3,9
SK;15,8;15,9;14,3;12,3;10,2;8,0;8,0;7,9
UK;232,2;232,4;214,0;189,9;170,4;150,0;147,2;144,0
;;;;;;;;
EU27;1474,4;1444,5;1344,2;1204,8;1082,7;963,8;913,1;866,1
EU28;1706,7;1676,8;1558,3;1394,8;1253,1;1113,8;1060,3;1010,1
EU30;1776,2;1748,7;1624,6;1453,7;1306,5;1161,2;1105,2;1052,3
