;2015;2020;2025;2030;2035;2040;2045;2050
AT;2,849;2,672;2,227;1,781;1,336;0,891;0,445;0
BE;3,512;3,436;2,863;2,291;1,718;1,145;0,573;0
BG;1,518;1,45;1,208;0,967;0,725;0,483;0,242;0
CH;0,855;0,839;0,699;0,56;0,42;0,28;0,14;0
CY;0,299;0,322;0,268;0,215;0,161;0,107;0,054;0
CZ;3,911;3,938;3,282;2,625;1,969;1,313;0,656;0
DE;25,982;25,982;20,785;15,589;10,393;5,196;0;0
DK;3,883;3,27;2,905;1,079;0;0;0;0
EE;1,197;1,064;0,887;0,71;0,532;0,355;0,177;0
EL;0,518;0,507;0,423;0,338;0,254;0,169;0,085;0
ES;21,545;21,128;17,607;14,085;10,564;7,043;3,521;0
FI;4,667;4,171;3,476;2,781;2,086;1,39;0,695;0
FR;39,183;38,495;32,079;25,663;19,247;12,832;6,416;0
HR;2,319;2,328;1,94;1,552;1,164;0,776;0,388;0
HU;4,068;4,666;3,889;3,111;2,333;1,555;0,778;0
IE;2,008;2,314;1,929;1,543;1,157;0,771;0,386;0
IT;25,012;24,457;20,381;16,305;12,229;8,152;4,076;0
LT;0,525;0,605;0,504;0,403;0,303;0,202;0,101;0
LU;0,225;0,224;0,187;0,149;0,112;0,075;0,037;0
LV;1,297;1,665;1,387;1,11;0,832;0,555;0,277;0
MT;0,036;0,085;0,071;0,057;0,043;0,028;0,014;0
NL;7,207;6,776;5,647;4,517;3,388;2,259;1,129;0
NO;3,759;4,525;3,771;3,017;2,263;1,508;0,754;0
PL;20,249;27,773;23,144;18,515;13,886;9,258;4,629;0
PT;4,175;4,395;3,662;2,93;2,197;1,465;0,732;0
RO;3,245;4,137;3,447;2,758;2,068;1,379;0,689;0
SE;3,206;3,155;2,629;2,103;1,578;1,052;0,526;0
SI;0,83;0,81;0,675;0,54;0,405;0,27;0,135;0
SK;0,785;0,668;0,557;0,445;0,334;0,223;0,111;0
UK;5,159;10,145;8,454;6,763;5,072;3,382;1,691;0
;;;;;;;;
EU27;184,251;190,493;158,059;124,162;91,014;58,944;26,872;0
EU28;189,41;200,638;166,513;130,925;96,086;62,326;28,563;0
EU30;194,024;206,002;170,983;134,502;98,769;64,114;29,457;0
