;2015;2020;2025;2030;2035;2040;2045;2050
AT;1,1;1,2;1,2;1,2;1,1;1,1;1,1;1,1
BE;1,6;1,5;1,5;1,4;1,4;1,3;1,3;1,2
BG;0,2;0,3;0,3;0,3;0,4;0,4;0,4;0,4
CH;1,0;1,0;1,0;1,0;0,9;0,9;0,9;0,9
CY;0,1;0,2;0,2;0,2;0,2;0,2;0,3;0,3
CZ;1,0;1,0;1,0;1,1;1,2;1,2;1,3;1,4
DE;5,1;5,1;5,4;5,7;6,0;6,4;6,7;6,7
DK;1,8;1,9;1,9;2,1;2,3;2,3;2,3;2,3
EE;0,2;0,1;0,2;0,2;0,2;0,2;0,2;0,2
EL;2,3;2,2;2,0;1,7;1,4;1,1;0,8;0,6
ES;5,8;5,8;5,6;5,4;5,3;5,1;4,9;4,8
FI;1,5;1,5;1,5;1,6;1,6;1,7;1,7;1,8
FR;8,7;8,6;8,5;8,4;8,4;8,3;8,2;8,2
HR;0,1;0,1;0,2;0,3;0,3;0,4;0,4;0,5
HU;0,9;1,0;1,1;1,2;1,3;1,5;1,6;1,7
IE;0,6;0,5;0,6;0,7;0,8;0,9;0,9;1,0
IT;5,7;5,6;5,5;5,5;5,4;5,3;5,3;5,2
LT;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3
LU;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
LV;0,2;0,2;0,2;0,3;0,3;0,4;0,4;0,4
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1
NL;9,0;11,6;10,6;9,7;8,8;7,9;7,0;6,1
NO;2,0;2,1;2,0;2,0;1,9;1,8;1,8;1,7
PL;1,5;1,8;2,9;3,9;4,9;5,9;6,9;7,9
PT;0,9;1,0;1,2;1,4;1,6;1,7;1,9;2,1
RO;0,9;0,8;0,9;1,0;1,1;1,3;1,4;1,5
SE;1,8;1,8;1,7;1,5;1,4;1,3;1,2;1,1
SI;0,0;0,0;0,1;0,1;0,1;0,2;0,2;0,3
SK;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
UK;4,1;4,2;4,4;4,5;4,7;4,8;5,0;5,1
;;;;;;;;
EU27;51,5;54,5;54,9;55,6;56,3;56,8;57,3;57,4
EU28;55,6;58,7;59,3;60,1;61,0;61,6;62,2;62,6
EU30;58,6;61,7;62,3;63,1;63,8;64,4;64,9;65,2
