caieof;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BE;0,7;2,3;2,3;4,4;6,0;8,0;8,0;8,0
BG;0,0;0,0;0,8;2,1;3,3;4,4;5,4;6,0
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DE;3,3;7,8;10,6;30,2;49,1;59,6;70,0;70,0
DK;1,3;1,7;3,0;12,7;16,7;16,7;16,7;16,7
EE;0,0;0,0;0,2;0,5;0,8;1,1;1,4;1,5
EL;0,0;0,0;0,0;1,5;1,8;2,0;2,5;3,0
ES;0,0;0,0;0,5;3,0;7,0;9,8;10,8;10,8
FI;0,0;0,1;1,6;4,7;7,8;10,9;14,0;15,5
FR;0,0;0,0;2,4;8,1;18,1;29,3;38,8;38,8
HR;0,0;0,0;0,3;0,9;1,5;1,9;2,4;2,6
HU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IE;0,0;0,0;2,8;5,0;9,7;13,8;17,6;22,0
IT;0,0;0,0;0,5;2,5;4,8;6,8;8,3;9,3
LT;0,0;0,0;0,5;1,3;2,0;2,7;3,2;3,6
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,5;1,4;2,3;3,0;3,7;4,1
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;0,4;2,5;10,5;21,0;32,7;43,4;53,1;60,0
NO;0,0;0,0;3,7;10,4;16,4;21,8;26,6;29,6
PL;0,0;0,0;2,8;6,0;10,6;14,8;18,5;22,3
PT;0,0;0,0;0,8;2,2;3,6;5,1;6,5;7,2
RO;0,0;0,0;1,3;3,5;5,6;7,4;9,0;10,0
SE;0,2;0,2;0,7;6,7;11,4;14,3;16,0;16,5
SI;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UK;5,1;11,5;22,8;50,0;63,3;75,7;80,0;80,0
;;;;;;;;
EU27;5,8;14,5;41,9;117,7;194,7;254,8;305,7;327,9
EU28;10,9;26,0;64,7;167,7;258,0;330,4;385,7;407,9
EU30;10,9;26,0;68,4;178,2;274,4;352,2;412,4;437,5
