lqfcffrewati;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,2;0,2;0,2;0,1;0,1;0,1;0,0;0,0
BE;87,1;95,3;87,4;69,1;52,9;38,8;26,7;16,7
BG;1,0;0,9;0,8;0,6;0,5;0,4;0,2;0,2
CH;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;2,8;3,2;3,0;2,3;1,8;1,3;0,9;0,6
CZ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DE;39,8;43,3;34,8;27,4;21,1;15,8;11,4;7,9
DK;4,1;4,1;3,5;3,0;2,5;2,0;1,9;1,8
EE;3,3;2,1;2,0;1,5;1,2;0,9;0,6;0,4
EL;20,7;29,3;26,8;21,2;16,3;11,9;8,2;5,1
ES;87,1;83,6;76,6;60,6;46,4;34,0;23,4;14,6
FI;3,4;3,9;3,6;2,8;2,2;1,6;1,1;0,7
FR;16,3;16,3;13,2;10,0;7,3;5,1;3,3;2,0
HR;0,0;0,3;0,3;0,2;0,2;0,1;0,1;0,1
HU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IE;1,9;1,7;1,5;1,2;0,9;0,7;0,5;0,3
IT;22,1;21,1;17,3;13,2;9,7;6,9;5,3;4,3
LT;0,9;2,3;2,1;1,6;1,3;0,9;0,6;0,4
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;3,0;3,4;3,1;2,5;1,9;1,4;1,0;0,6
MT;17,9;26,3;24,1;19,1;14,6;10,7;7,4;4,6
NL;138,9;139,0;127,4;100,7;77,1;56,5;38,9;24,3
NO;1,7;2,1;2,0;1,6;1,2;0,9;0,6;0,4
PL;2,2;3,2;2,9;2,3;1,8;1,3;0,9;0,6
PT;7,5;11,1;10,2;8,0;6,1;4,5;3,1;1,9
RO;0,5;0,4;0,4;0,3;0,2;0,2;0,1;0,1
SE;21,2;23,4;21,5;17,0;13,0;9,5;6,6;4,1
SI;0,7;2,2;2,0;1,6;1,2;0,9;0,6;0,4
SK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UK;29,4;27,2;24,9;19,7;15,1;11,1;7,6;4,8
;;;;;;;;
EU27;482,8;516,6;464,5;366,5;280,2;205,4;142,8;91,5
EU28;512,2;543,8;489,5;386,3;295,3;216,5;150,5;96,3
EU30;513,9;546,0;491,5;387,8;296,5;217,3;151,1;96,7
