lqfcfavi;2015;2020;2025;2030;2035;2040;2045;2050
AT;8,1;8,1;7,3;6,5;5,7;4,8;3,9;3,0
BE;11,0;10,9;9,3;6,9;4,7;4,4;4,1;3,9
BG;2,1;2,1;2,0;1,9;1,9;1,9;1,8;1,8
CH;18,9;18,9;16,8;14,6;12,2;9,7;7,1;4,3
CY;2,9;2,9;2,8;2,8;2,7;2,6;2,5;2,4
CZ;3,4;3,4;3,4;3,4;3,4;3,4;3,3;3,3
DE;65,9;65,3;60,3;55,5;50,6;45,6;41,3;37,6
DK;7,3;7,2;4,8;3,9;3,3;2,6;2,5;2,3
EE;0,6;0,6;0,6;0,5;0,5;0,5;0,4;0,4
EL;10,0;9,9;8,9;8,2;7,5;6,8;6,3;5,8
ES;46,0;45,6;42,1;35,2;26,8;19,9;17,2;16,2
FI;7,4;7,4;6,5;5,6;4,6;3,6;2,6;1,7
FR;66,6;64,6;64,2;50,2;37,6;27,1;24,8;22,9
HR;1,4;1,4;1,3;1,3;1,2;1,2;1,1;1,1
HU;2,0;2,0;2,2;2,3;2,5;2,6;2,8;2,9
IE;9,8;9,8;9,8;9,7;9,5;9,3;8,9;8,5
IT;49,6;49,1;40,5;31,2;26,0;22,5;20,7;19,6
LT;0,9;0,9;0,9;0,9;0,8;0,8;0,7;0,7
LU;5,3;5,3;4,8;4,2;3,5;2,7;1,8;0,9
LV;1,2;1,2;1,1;0,9;0,8;0,7;0,5;0,4
MT;1,3;1,3;1,4;1,4;1,4;1,4;1,3;1,2
NL;44,2;44,2;39,0;33,2;27,3;21,1;14,8;8,5
NO;7,1;7,1;6,5;5,7;4,9;4,0;3,0;2,0
PL;7,5;7,5;8,2;8,8;9,4;9,9;10,3;10,8
PT;12,2;12,2;10,6;9,0;7,5;5,9;4,4;3,0
RO;2,8;2,8;3,2;3,6;3,9;4,3;4,6;4,9
SE;3,6;3,5;3,1;2,6;2,2;1,7;1,6;1,6
SI;0,3;0,3;0,4;0,4;0,5;0,5;0,6;0,6
SK;0,5;0,5;0,7;0,9;1,1;1,3;1,5;1,6
UK;128,7;128,7;114,7;99,2;82,8;65,6;47,8;29,3
;;;;;;;;
EU27;374,0;370,1;339,6;291,2;246,6;208,8;186,6;167,7
EU28;502,7;498,8;454,3;390,5;329,5;274,5;234,3;197,0
EU30;528,8;524,8;477,5;410,8;346,6;288,2;244,4;203,3
