gazcftra;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,5;1,8;3,0;4,2;4,8;5,2
BE;0,0;0,3;0,6;1,0;2,1;3,6;5,5;7,5
BG;0,0;0,0;0,1;0,4;0,6;0,8;1,0;1,0
CH;0,0;0,0;0,3;1,0;1,7;2,4;2,8;3,1
CY;0,0;0,0;0,0;0,1;0,2;0,3;0,3;0,4
CZ;0,0;0,0;0,8;2,5;4,3;6,0;6,9;7,5
DE;0,0;0,0;2,2;15,1;42,3;53,6;59,2;58,6
DK;0,0;0,0;0,1;0,3;1,5;1,4;1,3;1,2
EE;0,0;0,0;0,0;0,1;0,2;0,2;0,3;0,3
EL;0,2;0,2;1,7;3,2;4,8;6,2;7,5;10,9
ES;0,0;0,0;4,3;14,1;29,6;35,1;37,1;39,0
FI;0,0;0,0;0,2;0,8;1,3;1,8;2,1;2,2
FR;0,8;2,3;16,9;28,5;38,1;45,6;50,3;52,7
HR;0,0;0,0;0,1;0,4;0,7;1,0;1,1;1,2
HU;0,0;0,0;0,5;1,5;2,6;3,7;4,3;4,6
IE;0,0;0,0;0,3;1,1;1,9;2,6;3,1;3,4
IT;12,6;13,3;20,6;29,4;39,4;48,6;59,3;56,4
LT;0,0;0,0;0,1;0,3;0,4;0,6;0,7;0,7
LU;0,0;0,0;0,1;0,2;0,3;0,4;0,5;0,6
LV;0,0;0,0;0,0;0,1;0,2;0,3;0,4;0,4
MT;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,2
NL;0,0;0,0;1,1;3,6;6,1;8,7;9,9;10,9
NO;0,0;0,0;0,2;0,6;1,1;1,5;1,8;1,9
PL;0,0;0,0;1,8;5,9;10,1;14,4;16,3;17,4
PT;0,0;0,0;0,2;0,7;1,3;1,8;2,1;2,2
RO;0,0;0,0;0,4;1,4;2,4;3,4;4,0;4,2
SE;0,4;0,1;0,4;1,2;3,3;6,7;8,2;8,8
SI;0,0;0,0;0,1;0,4;0,7;1,0;1,1;1,2
SK;0,0;0,0;0,3;1,0;1,7;2,4;2,7;3,0
UK;0,0;0,0;3,3;10,8;18,3;25,7;34,4;41,7
;;;;;;;;
EU27;14,1;16,3;53,6;115,2;199,2;254,7;289,9;301,8
EU28;14,1;16,3;56,9;126,0;217,5;280,5;324,3;343,5
EU30;14,1;16,3;57,4;127,7;220,4;284,4;328,9;348,5
