hydcfind;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,0;0,0;13,9;13,4;13,0;11,6
BE;0,0;0,0;0,0;0,0;9,1;8,1;7,5;7,4
BG;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;0,0;0,0;0,0;0,0;10,0;9,6;9,3;8,3
DE;0,0;0,0;0,0;7,2;31,1;54,7;51,2;49,1
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;0,0;0,0;5,7;9,5;8,6;8,1;7,7;7,6
FI;0,0;0,0;0,0;0,0;3,6;3,3;3,1;2,8
FR;0,0;0,0;0,0;0,0;11,4;10,1;8,7;8,7
HR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
HU;0,0;0,0;0,0;0,0;3,0;2,8;2,7;2,5
IE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IT;0,0;0,0;0,0;0,0;16,9;15,8;14,8;14,6
LT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;0,0;0,0;0,0;0,0;14,4;14,0;13,6;12,1
NO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PL;0,0;0,0;0,0;0,0;5,9;5,3;4,7;4,2
PT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
RO;0,0;0,0;0,0;0,0;3,0;2,8;2,6;2,3
SE;0,0;0,0;2,5;3,3;5,3;13,8;13,8;13,8
SI;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SK;0,0;0,0;0,0;0,0;8,5;8,2;7,9;7,1
UK;0,0;0,0;0,0;0,0;16,5;15,8;15,2;13,5
;;;;;;;;
EU27;0,0;0,0;8,2;20,0;144,7;170,1;160,8;152,2
EU28;0,0;0,0;8,2;20,0;161,2;185,9;176,0;165,7
EU30;0,0;0,0;8,2;20,0;161,2;185,9;176,0;165,7
