caienm;2015;2020;2025;2030;2035;2040;2045;2050
AT;;;;;;;;
BE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BG;;;;;;;;
CH;;;;;;;;
CY;;;;;;;;
CZ;;;;;;;;
DE;0,0;0,0;;;;;;
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;;;;;;;;
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;0,0;0,0;0,0;0,1;1,5;2,6;3,1;3,7
FI;;;;;;;;
FR;0,3;0,3;0,3;0,4;0,7;1,0;1,2;1,3
HR;;;;;;;;
HU;;;;;;;;
IE;;;;;;;;
IT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LT;;;;;;;;
LU;;;;;;;;
LV;;;;;;;;
MT;;;;;;;;
NL;;;;;;;;
NO;;;;;;;;
PL;;;;;;;;
PT;;;;;;;;
RO;;;;;;;;
SE;;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;;;;;;;;
SK;;;;;;;;
UK;;;;;;;;
;;;;;;;;
EU27;0,3;0,3;0,3;0,5;2,2;3,6;4,3;4,9
EU28;0,3;0,3;0,3;0,5;2,2;3,6;4,3;4,9
EU30;0,3;0,3;0,3;0,5;2,2;3,6;4,3;4,9
