proelcpet;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,3;0,1;0,0;0,0;0,0;0,0;0,0
BE;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0
BG;0,0;0,3;0,1;0,0;0,0;0,0;0,0;0,0
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;3,9;4,4;2,2;0,0;0,0;0,0;0,0;0,0
CZ;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DE;11,0;10,5;7,9;5,2;0,0;0,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;6,7;3,7;1,8;0,0;0,0;0,0;0,0;0,0
EL;5,2;4,3;2,2;0,0;0,0;0,0;0,0;0,0
ES;13,1;7,8;4,4;0,0;0,0;0,0;0,0;0,0
FI;0,1;0,2;0,1;0,0;0,0;0,0;0,0;0,0
FR;0,4;2,1;0,0;0,0;0,0;0,0;0,0;0,0
HR;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
HU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IE;0,3;0,3;0,1;0,0;0,0;0,0;0,0;0,0
IT;6,3;3,9;0,0;0,0;0,0;0,0;0,0;0,0
LT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0
NO;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PT;0,7;0,7;0,4;0,0;0,0;0,0;0,0;0,0
RO;0,2;0,4;0,2;0,0;0,0;0,0;0,0;0,0
SE;;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SK;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0
UK;0,7;0,4;0,2;0,0;0,0;0,0;0,0;0,0
;;;;;;;;
EU27;49,6;39,2;19,6;5,2;0,0;0,0;0,0;0,0
EU28;50,3;39,6;19,9;5,2;0,0;0,0;0,0;0,0
EU30;50,7;39,7;19,9;5,2;0,0;0,0;0,0;0,0
