ngvcffrewati;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BE;0,0;0,0;7,9;13,8;17,6;19,4;19,1;16,7
BG;0,0;0,0;0,1;0,1;0,2;0,2;0,2;0,2
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,3;0,5;0,6;0,7;0,6;0,6
CZ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DE;0,0;0,0;3,2;5,5;7,0;7,9;8,2;7,9
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,2;0,3;0,4;0,4;0,4;0,4
EL;0,0;0,0;2,4;4,2;5,4;6,0;5,9;5,1
ES;0,0;0,0;7,0;12,1;15,5;17,0;16,7;14,6
FI;0,0;0,0;0,3;0,6;0,7;0,8;0,8;0,7
FR;0,0;0,0;1,0;2,4;3,3;3,8;4,0;3,9
HR;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1
HU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IE;0,0;0,0;0,1;0,2;0,3;0,3;0,3;0,3
IT;0,0;0,0;1,6;2,6;3,2;3,4;3,8;4,3
LT;0,0;0,0;0,2;0,3;0,4;0,5;0,5;0,4
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,3;0,5;0,6;0,7;0,7;0,6
MT;0,0;0,0;2,2;3,8;4,9;5,3;5,3;4,6
NL;0,0;0,0;11,6;20,1;25,7;28,3;27,8;24,3
NO;0,0;0,0;0,2;0,3;0,4;0,4;0,4;0,4
PL;0,0;0,0;0,3;0,5;0,6;0,7;0,6;0,6
PT;0,0;0,0;0,9;1,6;2,0;2,3;2,2;1,9
RO;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
SE;0,0;0,0;2,0;3,4;4,3;4,8;4,7;4,1
SI;0,0;0,0;0,2;0,3;0,4;0,5;0,4;0,4
SK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UK;0,0;0,0;2,3;3,9;5,0;5,5;5,4;4,8
;;;;;;;;
EU27;0,0;0,0;41,7;73,1;93,4;103,0;102,3;91,7
EU28;0,0;0,0;44,0;77,0;98,5;108,5;107,7;96,4
EU30;0,0;0,0;44,2;77,4;98,9;108,9;108,2;96,8
