ghgindnes;2015;2020;2025;2030;2035;2040;2045;2050
AT;9,7;9,7;8,0;5,9;4,4;3,1;2,9;2,9
BE;11,9;11,8;9,9;8,0;6,1;4,1;3,6;3,1
BG;2,7;2,7;2,2;1,7;1,3;0,9;0,9;0,8
CH;3,1;2,7;2,6;1,9;1,4;1,0;1,0;1,0
CY;0,2;0,2;0,2;0,1;0,1;0,0;0,0;0,0
CZ;7,5;7,5;6,2;4,7;3,5;2,5;2,4;2,4
DE;60,4;59,5;50,2;40,8;30,6;20,4;17,7;15,0
DK;2,0;2,1;1,9;1,7;1,1;0,6;0,6;0,6
EE;0,5;0,5;0,4;0,3;0,2;0,2;0,2;0,2
EL;3,1;2,6;2,3;2,0;1,5;1,0;0,9;0,8
ES;18,7;20,3;16,2;12,1;9,5;7,0;6,4;5,8
FI;10,7;11,2;8,8;6,6;4,9;3,4;3,2;3,2
FR;32,5;32,3;27,2;22,0;16,5;11,1;9,4;7,8
HR;1,0;1,2;0,9;0,6;0,5;0,3;0,3;0,3
HU;4,2;4,7;3,5;2,7;2,0;1,4;1,4;1,4
IE;2,0;2,3;1,7;1,3;1,0;0,7;0,6;0,6
IT;25,6;25,6;21,9;18,2;14,3;10,5;9,2;7,9
LT;1,0;1,1;0,8;0,6;0,5;0,3;0,3;0,3
LU;0,6;0,6;0,5;0,4;0,3;0,2;0,2;0,2
LV;0,8;0,8;0,6;0,5;0,4;0,3;0,2;0,2
MT;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0
NL;14,5;14,8;12,2;9,4;7,1;5,1;4,9;4,8
NO;6,0;6,3;5,0;3,7;2,8;2,0;1,9;1,9
PL;15,6;18,1;12,8;9,5;7,0;4,9;4,6;4,5
PT;4,5;4,6;3,8;2,8;2,1;1,5;1,4;1,4
RO;6,1;6,9;4,8;3,6;2,5;1,7;1,6;1,6
SE;12,2;12,3;10,7;9,0;7,3;5,7;5,0;4,4
SI;1,2;1,3;1,0;0,8;0,6;0,4;0,4;0,4
SK;4,4;4,5;3,7;2,7;1,9;1,3;1,3;1,3
UK;22,8;20,8;18,8;14,1;10,5;7,4;7,0;6,9
;;;;;;;;
EU27;253,8;259,2;212,3;167,9;127,2;88,8;79,8;72,0
EU28;276,6;280,0;231,1;182,0;137,7;96,2;86,8;78,9
EU30;285,7;289,0;238,7;187,7;142,0;99,2;89,6;81,7
